"<h3>Print Format Help</h3>
<hr>
<h4>Introduction</h4>
<p>Print Formats are rendered on the server side using the Jinja Templating Language. All forms have access to the <code>doc</code> object which contains information about the document that is being formatted. You can also access common utilities via the <code>frappe</code> module.</p>
<p>For styling, the Boostrap CSS framework is provided and you can enjoy the full range of classes.</p>
<hr>
<h4>References</h4>
<ol>
	<li><a href=""http://jinja.pocoo.org/docs/templates/"" target=""_blank"">Jinja Templating Language</a></li>
	<li><a href=""http://getbootstrap.com"" target=""_blank"">Bootstrap CSS Framework</a></li>
</ol>
<hr>
<h4>Example</h4>
<pre><code>&lt;h3&gt;{{ doc.select_print_heading or ""Invoice"" }}&lt;/h3&gt;
&lt;div class=""row""&gt;
	&lt;div class=""col-md-3 text-right""&gt;Customer Name&lt;/div&gt;
	&lt;div class=""col-md-9""&gt;{{ doc.customer_name }}&lt;/div&gt;
&lt;/div&gt;
&lt;div class=""row""&gt;
	&lt;div class=""col-md-3 text-right""&gt;Date&lt;/div&gt;
	&lt;div class=""col-md-9""&gt;{{ doc.get_formatted(""invoice_date"") }}&lt;/div&gt;
&lt;/div&gt;
&lt;table class=""table table-bordered""&gt;
	&lt;tbody&gt;
		&lt;tr&gt;
			&lt;th&gt;Sr&lt;/th&gt;
			&lt;th&gt;Item Name&lt;/th&gt;
			&lt;th&gt;Description&lt;/th&gt;
			&lt;th class=""text-right""&gt;Qty&lt;/th&gt;
			&lt;th class=""text-right""&gt;Rate&lt;/th&gt;
			&lt;th class=""text-right""&gt;Amount&lt;/th&gt;
		&lt;/tr&gt;
		{%- for row in doc.items -%}
		&lt;tr&gt;
			&lt;td style=""width: 3%;""&gt;{{ row.idx }}&lt;/td&gt;
			&lt;td style=""width: 20%;""&gt;
				{{ row.item_name }}
				{% if row.item_code != row.item_name -%}
				&lt;br&gt;Item Code: {{ row.item_code}}
				{%- endif %}
			&lt;/td&gt;
			&lt;td style=""width: 37%;""&gt;
				&lt;div style=""border: 0px;""&gt;{{ row.description }}&lt;/div&gt;&lt;/td&gt;
			&lt;td style=""width: 10%; text-align: right;""&gt;{{ row.qty }} {{ row.uom or row.stock_uom }}&lt;/td&gt;
			&lt;td style=""width: 15%; text-align: right;""&gt;{{
				row.get_formatted(""rate"", doc) }}&lt;/td&gt;
			&lt;td style=""width: 15%; text-align: right;""&gt;{{
				row.get_formatted(""amount"", doc) }}&lt;/td&gt;
		&lt;/tr&gt;
		{%- endfor -%}
	&lt;/tbody&gt;
&lt;/table&gt;</code></pre>
<hr>
<h4>Common Functions</h4>
<table class=""table table-bordered"">
	<tbody>
		<tr>
			<td style=""width: 30%;""><code>doc.get_formatted(""[fieldname]"", [parent_doc])</code></td>
			<td>Get document value formatted as Date, Currency, etc. Pass parent <code>doc</code> for currency type fields.</td>
		</tr>
		<tr>
			<td style=""width: 30%;""><code>frappe.db.get_value(""[doctype]"", ""[name]"", ""fieldname"")</code></td>
			<td>Get value from another document.</td>
		</tr>
	</tbody>
</table>
","<h3>Справка по формату печати</h3><hr><h4> Введение</h4><p> Форматы печати визуализируются на стороне сервера с использованием языка шаблонов Jinja. Все формы имеют доступ к объекту <code>doc</code> , который содержит информацию о форматируемом документе. Вы также можете получить доступ к общим утилитам через модуль <code>frappe</code> .</p><p> Для стилизации предусмотрен CSS-фреймворк Boostrap, и вы можете пользоваться полным набором классов.</p><hr><h4> Ссылки</h4><ol><li> <a href=""http://jinja.pocoo.org/docs/templates/"" target=""_blank"">Язык шаблонов Jinja</a></li><li> <a href=""http://getbootstrap.com"" target=""_blank"">CSS-фреймворк Bootstrap</a></li></ol><hr><h4> Пример</h4><pre> <code>&lt;h3&gt;{{ doc.select_print_heading or &quot;Invoice&quot; }}&lt;/h3&gt; &lt;div class=&quot;row&quot;&gt; &lt;div class=&quot;col-md-3 text-right&quot;&gt;Customer Name&lt;/div&gt; &lt;div class=&quot;col-md-9&quot;&gt;{{ doc.customer_name }}&lt;/div&gt; &lt;/div&gt; &lt;div class=&quot;row&quot;&gt; &lt;div class=&quot;col-md-3 text-right&quot;&gt;Date&lt;/div&gt; &lt;div class=&quot;col-md-9&quot;&gt;{{ doc.get_formatted(&quot;invoice_date&quot;) }}&lt;/div&gt; &lt;/div&gt; &lt;table class=&quot;table table-bordered&quot;&gt; &lt;tbody&gt; &lt;tr&gt; &lt;th&gt;Sr&lt;/th&gt; &lt;th&gt;Item Name&lt;/th&gt; &lt;th&gt;Description&lt;/th&gt; &lt;th class=&quot;text-right&quot;&gt;Qty&lt;/th&gt; &lt;th class=&quot;text-right&quot;&gt;Rate&lt;/th&gt; &lt;th class=&quot;text-right&quot;&gt;Amount&lt;/th&gt; &lt;/tr&gt; {%- for row in doc.items -%} &lt;tr&gt; &lt;td style=&quot;width: 3%;&quot;&gt;{{ row.idx }}&lt;/td&gt; &lt;td style=&quot;width: 20%;&quot;&gt; {{ row.item_name }} {% if row.item_code != row.item_name -%} &lt;br&gt;Item Code: {{ row.item_code}} {%- endif %} &lt;/td&gt; &lt;td style=&quot;width: 37%;&quot;&gt; &lt;div style=&quot;border: 0px;&quot;&gt;{{ row.description }}&lt;/div&gt;&lt;/td&gt; &lt;td style=&quot;width: 10%; text-align: right;&quot;&gt;{{ row.qty }} {{ row.uom or row.stock_uom }}&lt;/td&gt; &lt;td style=&quot;width: 15%; text-align: right;&quot;&gt;{{ row.get_formatted(&quot;rate&quot;, doc) }}&lt;/td&gt; &lt;td style=&quot;width: 15%; text-align: right;&quot;&gt;{{ row.get_formatted(&quot;amount&quot;, doc) }}&lt;/td&gt; &lt;/tr&gt; {%- endfor -%} &lt;/tbody&gt; &lt;/table&gt;</code></pre><hr><h4> Общие функции</h4><table class=""table table-bordered""><tbody><tr><td style=""width: 30%;""> <code>doc.get_formatted(&quot;[fieldname]&quot;, [parent_doc])</code></td><td> Получить значение документа, отформатированное как дата, валюта и т. д. Передать родительский <code>doc</code> для полей типа валюты.</td></tr><tr><td style=""width: 30%;""> <code>frappe.db.get_value(&quot;[doctype]&quot;, &quot;[name]&quot;, &quot;fieldname&quot;)</code></td><td> Получите ценность из другого документа.</td></tr></tbody></table>
",
"<h4>Default Template</h4>
<p>Uses <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> and all the fields of Address (including Custom Fields if any) will be available</p>
<pre><code>{{ address_line1 }}&lt;br&gt;
{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}
{{ city }}&lt;br&gt;
{% if state %}{{ state }}&lt;br&gt;{% endif -%}
{% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%}
{{ country }}&lt;br&gt;
{% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%}
{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}
{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}
</code></pre>","<h4>Шаблон по умолчанию</h4><p> Использует <a href=""http://jinja.pocoo.org/docs/templates/"">шаблоны Jinja</a> , и все поля адреса (включая пользовательские поля, если таковые имеются) будут доступны.</p><pre> <code>{{ address_line1 }}&lt;br&gt; {% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%} {{ city }}&lt;br&gt; {% if state %}{{ state }}&lt;br&gt;{% endif -%} {% if pincode %} PIN: {{ pincode }}&lt;br&gt;{% endif -%} {{ country }}&lt;br&gt; {% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%} {% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%} {% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}</code></pre>",
"<h4>Email Reply Example</h4>

<pre>Order Overdue

Transaction {{ name }} has exceeded Due Date. Please take necessary action.

Details

- Customer: {{ customer }}
- Amount: {{ grand_total }}
</pre>

<h4>How to get fieldnames</h4>

<p>The fieldnames you can use in your email template are the fields in the document from which you are sending the email. You can find out the fields of any documents via Setup &gt; Customize Form View and selecting the document type (e.g. Sales Invoice)</p>

<h4>Templating</h4>

<p>Templates are compiled using the Jinja Templating Language. To learn more about Jinja, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">read this documentation.</a></p>
","<h4>Пример ответа по электронной почте</h4><pre> Заказ просрочен

Транзакция {{name}} превысила дату выполнения. Пожалуйста, примите необходимые меры.

Подробности

- Клиент: {{клиент}}
- Сумма: {{ grand_total }}
</pre><h4>Как получить имена полей</h4><p> Имена полей, которые вы можете использовать в шаблоне электронной почты, являются полями в документе, из которого вы отправляете электронное письмо. Вы можете узнать поля любых документов через Настройка &gt; Настроить вид формы и выбрать тип документа (например, счет-фактура).</p><h4> Шаблонирование</h4><p> Шаблоны компилируются с помощью Jinja Templating Language. Чтобы узнать больше о Jinja, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">прочтите эту документацию.</a></p>
",
"<h5 class=""text-muted uppercase"">Or</h5>","<h5 class=""text-muted uppercase"">или</h5>",
"<h5>Message Example</h5>

<pre>&lt;h3&gt;Order Overdue&lt;/h3&gt;

&lt;p&gt;Transaction {{ doc.name }} has exceeded Due Date. Please take necessary action.&lt;/p&gt;

&lt;!-- show last comment --&gt;
{% if comments %}
Last comment: {{ comments[-1].comment }} by {{ comments[-1].by }}
{% endif %}

&lt;h4&gt;Details&lt;/h4&gt;

&lt;ul&gt;
&lt;li&gt;Customer: {{ doc.customer }}
&lt;li&gt;Amount: {{ doc.grand_total }}
&lt;/ul&gt;
</pre>","<h5>Пример сообщения</h5><pre> &lt;h3&gt;Заказ просрочен&lt;/h3&gt;

&lt;p&gt;Транзакция {{ doc.name }} превысила дату выполнения. Пожалуйста, примите необходимые меры.&lt;/p&gt;

&lt;!-- показать последний комментарий --&gt;
{% if комментариев %}
Последний комментарий: {{ comments[-1].comment }} от {{ comments[-1].by }}
{% endif %}

&lt;h4&gt;Подробности&lt;/h4&gt;

&lt;ул&gt;
&lt;li&gt;Клиент: {{ doc.customer }}
&lt;li&gt;Сумма: {{ doc.grand_total }}
&lt;/ul&gt;
</pre>",
"<p><strong>Condition Examples:</strong></p>
<pre>doc.status==""Open""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000
</pre>","<p><strong>Примеры условий:</strong></p>
<pre>doc.status==""Open""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000
</pre>",
"<p><strong>Condition Examples:</strong></p>
<pre>doc.status==""Open""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000
</pre>
","<p><strong>Примеры условий:</strong></p>
<pre>doc.status==""Open""<br>
doc.due_date==nowdate()<br>
doc.total &gt; 40000
</pre>
",
"<p>Multiple webforms can be created for a single doctype. Add filters specific to this webform to display correct record after submission.</p><p>For Example:</p>
<p>If you create a separate webform every year to capture feedback from employees add a 
 field named year in doctype and add a filter <b>year = 2023</b></p>
","<p>Несколько веб-форм могут быть созданы для одного типа документа. Добавьте фильтры, специфичные для этой веб-формы, чтобы отобразить правильную запись после отправки.</p><p> Например:</p><p> Если вы создаете отдельную веб-форму каждый год для сбора отзывов от сотрудников, добавьте поле с именем year в doctype и добавьте фильтр <b>year = 2023.</b></p>
",
"<p>Set context before rendering a template. Example:</p><p>
</p><div><pre><code>
context.project = frappe.get_doc(""Project"", frappe.form_dict.name)
</code></pre></div>","<p>Установите контекст перед рендерингом шаблона. Пример:</p><p></p><div><pre> <code>context.project = frappe.get_doc(""Project"", frappe.form_dict.name)</code></pre></div>",
"<p>To interact with above HTML you will have to use `root_element` as a parent selector.</p><p>For example:</p><pre class=""p-3 bg-gray-100 border-radius rounded-sm mb-0"" style=""width: fit-content;""><code>// here root_element is provided by default
let some_class_element = root_element.querySelector('.some-class');
some_class_element.textContent = ""New content"";
</code></pre>","<p>Для взаимодействия с приведенным выше HTML-кодом вам придется использовать `root_element` в качестве родительского селектора.</p><p> Например:</p><pre class=""p-3 bg-gray-100 border-radius rounded-sm mb-0"" style=""width: fit-content;""> <code>// здесь `root_element` передается по-умолчанию
let some_class_element = root_element.querySelector('.some-class');
some_class_element.textContent = ""New content"";</code></pre>",
"<p>Your OTP secret on {0} has been reset. If you did not perform this reset and did not request it, please contact your System Administrator immediately.</p>","<p>Ваш секрет OTP на {0} был сброшен. Если вы не выполняли этот сброс и не запрашивали его, немедленно свяжитесь с вашим системным администратором.</p>",
"<pre>*  *  *  *  *
┬  ┬  ┬  ┬  ┬
│  │  │  │  │
│  │  │  │  └ day of week (0 - 6) (0 is Sunday)
│  │  │  └───── month (1 - 12)
│  │  └────────── day of month (1 - 31)
│  └─────────────── hour (0 - 23)
└──────────────────── minute (0 - 59)

---

* - Any value
/ - Step values
</pre>
","<pre>* * * * *
┬ ┬ ┬ ┬ ┬
│ │ │ │ │
│ │ │ │ └ день недели (0 - 6) (0 - воскресенье)
│ │ │ └───── месяц (1 - 12)
│ │ └─────────── день месяца (1 - 31)
│ └──────────────── час (0 - 23)
└────────────────────── минута (0 - 59)

---

* - Любое значение
/ - Значения шагов
</pre>
",
"<pre><code>doc.grand_total &gt; 0</code></pre>

<p>Conditions should be written in simple Python. Please use properties available in the form only.</p>
<p>Allowed functions:
</p><ul>
<li>frappe.db.get_value</li>
<li>frappe.db.get_list</li>
<li>frappe.session</li>
<li>frappe.utils.now_datetime</li>
<li>frappe.utils.get_datetime</li>
<li>frappe.utils.add_to_date</li>
<li>frappe.utils.now</li>
</ul>
<p>Example: </p><pre><code>doc.creation &gt; frappe.utils.add_to_date(frappe.utils.now_datetime(), days=-5, as_string=True, as_datetime=True) </code></pre><p></p>","<pre><code>doc.grand_total &gt; 0</code></pre>
<p> Условия должны быть написаны на простом Python. Пожалуйста, используйте только свойства, доступные в форме.</p>
<p> Разрешенные функции:</p><ul>
<li> frappe.db.get_value</li>
<li> frappe.db.get_list</li>
<li> frappe.session</li>
<li> frappe.utils.now_datetime</li>
<li> frappe.utils.get_datetime</li>
<li> frappe.utils.add_to_date</li>
<li> frappe.utils.now</li>
</ul><p> Пример:</p><pre> <code>doc.creation &gt; frappe.utils.add_to_date(frappe.utils.now_datetime(), days=-5, as_string=True, as_datetime=True)</code></pre><p></p>",
<strong>Warning:</strong> This field is system generated and may be overwritten by a future update. Modify it using {0} instead.,<strong>Внимание:</strong> Это поле генерируется системой и может быть перезаписано в будущем обновлении. Вместо этого измените его с помощью {0}.,
"A DocType's name should start with a letter and can only consist of letters, numbers, spaces, underscores and hyphens","Имя ДокТайпа должно начинаться с буквы и может состоять только из букв, цифр, пробелов, подчеркиваний и дефисов",
A featured post must have a cover image,У тематического поста должно быть изображение обложки,
A field with the name {0} already exists in {1},Поле с именем {0} уже существует в {1},
A file with same name {} already exists,Файл с таким же именем {} уже существует,
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,"Список ресурсов, к которым Client App будет иметь доступ после того, как пользователь разрешит его.<br> Например, проект",
A new account has been created for you at {0},Для Вас был создан новый аккаунт на {0},
A recurring {0} {1} has been created for you via Auto Repeat {2}.,Повтор {0} {1} был создан для Вас с помощью функции Автоповтор {2}.,
A symbol for this currency. For e.g. $,"Символ для этой валюты. Например, $",
A template already exists for field {0} of {1},Для поля {0} из {1} уже существует шаблон,
A word by itself is easy to guess.,Слово само по себе легко угадать.,
A0,A0,
A1,A1,
A2,A2,
A3,A3,
A4,A4,
A5,A5,
A6,A6,
A7,A7,
A8,A8,
A9,A9,
ALL,ВСЕ,
API,API,
API Access,API доступ,
API Endpoint,Конечная точка API,
API Endpoint Args,Аргументы конечной точки API,
API Key,API ключ,
API Key and Secret to interact with the relay server. These will be auto-generated when the first push notification is sent from any of the apps installed on this site.,"API ключ и секрет для взаимодействия с ретрансляционным сервером. Они будут автоматически сгенерированы при отправке первого пуш-уведомления из любого приложения, установленного на этом сайте.",
API Key cannot be regenerated,Ключ API не может быть регенерирован,
API Method,Метод API,
API Secret,API Секрет,
ASC,По возрастанию,
About,О нас,
About Us,О нас,
About Us Settings,Настройки раздела «О нас»,
About Us Team Member,Член команды раздела о нас,
About {0} minute remaining,Осталось около {0} минуты,
About {0} minutes remaining,Осталось около {0} минут,
About {0} seconds remaining,Осталось около {0} секунд,
Access Key ID,ID ключа доступа,
Access Key Secret,Секрет ключа доступа,
Access Log,Журнал доступа,
Access Token,Токен доступа,
Access Token URL,Токен доступа URL,
Access not allowed from this IP Address,Доступ с этого IP-адреса запрещен,
Account,Учетная запись,
Account Deletion Settings,Настройки удаления учетной записи,
Accounts Manager,Менеджер по работе с клиентами,
Accounts User,Учетные записи Пользователя,
Action,Действие,
Action / Route,Действие / Маршрут,
Action Complete,Действие завершено,
Action Failed,Действие не удалось,
Action Label,Название  действия,
Action Timeout (Seconds),Тайм-аут действия (секунды),
Action Type,Тип действия,
Action {0} completed successfully on {1} {2}. View it {3},Действие {0} успешно завершено в документе {1} {2}. Просмотреть - {3},
Action {0} failed on {1} {2}. View it {3},Действие {0} не удалось в документе {1} {2}. Просмотреть - {3},
Actions,Действия,
Activate,Активировать,
Active,Активный,
Active Directory,Active Directory,
Active Domains,Активные сферы деятельности,
Active Sessions,Активные сессии,
Activity,Активность,
Activity Log,Журнал активности,
Add,Добавить,
Add / Remove Columns,Добавление / удаление колонок,
Add / Update,Добавить / Обновить,
Add A New Rule,Добавить новое правило,
Add Attachment,Добавить вложение,
Add Background Image,Добавить фоновое изображение,
Add Border at Bottom,Добавить рамку внизу,
Add Border at Top,Добавить рамку сверху,
Add Chart to Dashboard,Добавьте диаграмму на инфопанель,
Add Child,Добавить дочерний элемент,
Add Column,Добавить колонку,
Add Contact,Добавить контакт,
Add Contacts,Добавить контакты,
Add Container,Добавить контейнер,
Add Custom Tags,Добавить настраиваемые теги,
Add Filters,Добавить фильтры,
Add Gray Background,Добавьте серый фон,
Add Group,Группировка,
Add Indexes,Добавить индексы,
Add Multiple,Добавить несколько,
Add New Permission Rule,Добавить новое правило разрешения,
Add Participants,Добавить участников,
Add Query Parameters,Добавить параметры запроса,
Add Review,Добавить отзыв,
Add Roles,Добавить роли,
Add Row,Добавить строку,
Add Signature,Добавить подпись,
Add Space at Bottom,Добавьте место внизу,
Add Space at Top,Добавьте место в верхней части,
Add Subscribers,Добавить подписчиков,
Add Tags,Добавить теги,Button in list view actions menu
Add Template,Добавить шаблон,
Add Total Row,Добавить итоговую строку,
Add Unsubscribe Link,Добавить ссылку для отмены подписки,
Add User Permissions,Добавьте разрешения для пользователей,
Add Video Conferencing,Добавить видеоконференцию,
Add a Filter,Добавить фильтр,
Add a New Role,Добавьте новую роль,
Add a Row,Добавить строку,
Add a comment,Добавить комментарий,
Add a new section,Добавить новый раздел,
Add a row above the current row,Добавить строку над текущей,
Add a row at the bottom,Добавить строку в нижней части,
Add a row at the top,Добавить строку в верхней части,
Add a row below the current row,Добавьте строку под текущей,
Add a {0} Chart,Добавить диаграмму {0},
Add column,Добавить колонку,
Add field,Добавить поле,
Add new tab,Добавить новую вкладку,
Add page break,Добавить разрыв страницы,
Add script for Child Table,Добавить сценарий для дочерней таблицы,
Add section above,Добавить раздел выше,
Add section below,Добавить раздел ниже,
Add tab,Добавить вкладку,
Add to Dashboard,Добавить в информационную панель,
Add to ToDo,Добавить в список дел,
Add to table,Добавить в таблицу,
Add to this activity by mailing to {0},"Добавьте к этой активности, отправив письмо на {0}",
Add {0},Добавить {0},
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO","Добавляет HTML в раздел &lt;head&gt; веб-страницы, в основном используется для проверки сайта и SEO",
Added default log doctypes: {},Добавлены доктипы журналов по умолчанию: {},
Added {0},Добавлено {0},
Added {0} ({1}),Добавлено {0} ({1}),
Adding System Manager to this User as there must be atleast one System Manager,"Добавление системного менеджера к этому пользователю, поскольку должен быть как минимум один системный менеджер",
Additional Permissions,Дополнительные разрешения,
Address,Адрес,
Address Line 1,Адресная строка 1,
Address Line 2,Адресная строка 2,
Address Template,Шаблон адреса,
Address Title,Название адреса,
Address Title is mandatory.,Название адреса является обязательным.,
Address Type,Тип адреса,
Address and other legal information you may want to put in the footer.,"Адрес и другую юридическую информацию, которую Вы, возможно, захотите поместить в нижний колонтитул.",
Addresses,Адреса,
Addresses And Contacts,Адреса и контакты,
Adds a custom client script to a DocType,Добавляет пользовательский клиентский скрипт к ДокТайпу,
Adds a custom field to a DocType,Добавляет пользовательское поле к ДокТайпу,
Administration,Администрирование,
Administrator,Администратор,
Administrator Logged In,Администратор вошел в систему,
Administrator accessed {0} on {1} via IP Address {2}.,Администратор получил доступ к {0} на {1} через IP-адрес {2}.,
Advanced,Дополнительно,
Advanced Control,Продвинутый контроль,
Advanced Search,Расширенный поиск,
Advanced Settings,Расширенные настройки,
After Cancel,После отмены,
After Delete,После удаления,
After Insert,После вставки,
After Rename,После переименования,
After Save,После сохранения,
After Save (Submitted Document),После сохранения (проведенный документ),
After Submission,Перенаправление на выбранную страницу после отправки,
After Submit,После проведения,
Aggregate Field is required to create a number card,Агрегатное поле необходимо для создания числового индикатора,
Aggregate Function Based On,Агрегатная функция на основе,
Aggregate Function field is required to create a dashboard chart,Поле агрегатной функции необходимо для создания диаграммы информационной панели,
Alert,Оповещение,
Align,Выравнивание,
Align Labels to the Right,Выровнить заголовки вправо,
Align Right,Выровнить по правому краю,
Align Value,Значение выравнивания,
All,Все,
All Day,Весь день,
All Images attached to Website Slideshow should be public,"Все изображения, прикрепленные к слайд-шоу веб-сайта, должны быть общедоступными",
All Records,Все записи,
All Submissions,Все проведения,
All customizations will be removed. Please confirm.,"Все пользовательские настройки будут удалены. Пожалуйста, подтвердите.",
All fields are necessary to submit the comment.,Все поля необходимы для отправки комментария.,
